Mr. Natural,2414 S LAMAR BLVD,AUSTIN,78704,2016-11-17,62
Mikado Ryotei,9033  RESEARCH BLVD NB Unit 100,AUSTIN,78758,2016-12-16,50
Bawarchi Austin,7318  MC NEIL DR  Unit 102,AUSTIN,78729,2016-12-22,63
JD's Supermarket - Bakery/Deli,9111  FM 812 RD  Bldg B,AUSTIN,78719,2017-01-10,64
Texas Land & Cattle,6007 N IH 35 SVRD NB,AUSTIN,78723,2017-01-10,66
Kiefer's Cafe & Catering,2007  KRAMER LN,AUSTIN,78758,2017-01-13,61
Peace Bakery & Deli,11220 N LAMAR BLVD  Bunit 150,AUSTIN,78758,2017-01-17,61
Mi Pueblo Meat Market,6575  DECKER LN  Bunit 101,AUSTIN,78724,2017-01-19,65
Crowne Plaza Austin,6121 N IH 35 SVRD NB,AUSTIN,78752,2017-02-03,60
Bikinis Sports Bar and Grill,214 E 6TH ST,AUSTIN,78701,2017-02-09,60
J. D.'s Market #5,7310 E RIVERSIDE DR,AUSTIN,78741,2017-02-14,59
Austin Country Club,4408  LONG CHAMP DR,AUSTIN,78746,2017-02-23,64
Great Wraps Grill,2901 S CAPITAL OF TEXAS HWY NB Unit VC05,AUSTIN,78746,2017-03-02,66
Headliners,221 W 6TH ST,AUSTIN,78701,2017-03-07,66
Java Noodles,2400 E OLTORF ST,AUSTIN,78741,2017-03-09,68
Church's Fried Chicken #765,8545  RESEARCH BLVD NB,AUSTIN,78758,2017-03-13,63
China Express,1913 E RIVERSIDE DR,AUSTIN,78741,2017-03-14,66
The Park on South Lamar,4024 S LAMAR BLVD SB,AUSTIN,78704,2017-03-15,55
Hunan Lion Restaurant,4006 S LAMAR BLVD SB Unit 1000,AUSTIN,78704,2017-03-16,69
Thai Spice,3600 N CAPITAL OF TEXAS HWY SB Bunit 110,AUSTIN,78746,2017-04-09,59
Korea House,2700 W ANDERSON LN  Unit 501,AUSTIN,78757,2017-04-10,54
"Aquarium, The",403 E 6TH ST,AUSTIN,78701,2017-04-13,64
La Mexicana Bakery,1924 S 1ST ST,AUSTIN,78704,2017-05-02,67
Tam Deli Cafe,8222 N LAMAR BLVD  Bunit 33,AUSTIN,78758,2017-05-08,57
Taqueria Guadalajara,9207 N LAMAR BLVD,AUSTIN,78753,2017-05-16,61
Summit,120 W 5TH ST,AUSTIN,78701,2017-05-17,64
Bader Food Mart,17305  PEARCE LN  Unit A,AUSTIN,78617,2017-06-05,68
Buffalo Billiards,201 E 6TH ST,AUSTIN,78701,2017-06-14,65
Mongolian Hot Pot,2400  SETON AVE,AUSTIN,78705,2017-06-26,59
Hunan Riverplace Restaurant,10601  FM 2222 RD  Bldg A,AUSTIN,78730,2017-06-28,69
Mongolian Hot Pot,2400  SETON AVE,AUSTIN,78705,2017-07-26,54
Hunan Chef at 620,11815 N FM 620 RD,AUSTIN,78750,2017-07-28,69
Kim Phung Vietnamese and Chinese Restaurant,7601 N LAMAR BLVD NB Bldg I,AUSTIN,78752,2017-08-23,55
Silver Grill Cafe,4005 W PARMER LN  Unit E,AUSTIN,78727,2017-08-23,57
Cafe Express,3418 N LAMAR BLVD,Austin,78705,2017-09-01,62
Mirchi Restaurant,1212 W PARMER LN  Unit A,Austin,78753,2017-09-07,58
Third Base,13301 N US 183 HWY NB,Austin,78729,2017-09-12,58
Kim Phung Vietnamese and Chinese Restaurant,7601 N LAMAR BLVD NB Bldg I,Austin,78752,2017-09-26,63
Elizabeth Street Cafe,1501 S 1ST ST,Austin,78704,2017-10-23,69
Ojos Locos Sports Cantina,7522 N IH 35 SVRD SB,Austin,78752,2017-10-24,62
SV - Fire Bowl,5601  BRODIE LN  Unit 550,Sunset valley,78745,2017-11-27,63
